Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Person,Returned,total_cost,price_per_unit
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,Chuck Magee,No,0.84,1.679999948
CA-2017-159954,9/10/2017,9/14/2017,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,2.78,1,0,1.36,Cassandra Brandow,No,1.42,2.779999971
CA-2017-154214,3/20/2017,3/25/2017,Second Class,Consumer,United States,Columbus,Indiana,47201,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1,0,1.37,Kelly Williams,No,1.5400001,2.910000086
CA-2017-156391,9/26/2017,9/28/2017,First Class,Home Office,United States,Salem,Oregon,97301,West,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,2.22,1,0.2,0.56,Anna Andreadi,No,1.6600001,2.775000046
US-2015-128090,8/16/2015,8/22/2015,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.3,1,0.2,0.26,Anna Andreadi,No,2.04,2.874999951
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,Consumer,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.97,Anna Andreadi,No,2.05,2.00999999
CA-2014-133690,8/3/2014,8/5/2014,First Class,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.29,Anna Andreadi,No,2.31,3.249999893
CA-2015-144267,8/21/2015,8/23/2015,First Class,Home Office,United States,San Francisco,California,94110,West,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,4.28,1,0,1.93,Anna Andreadi,No,2.3500004,4.28000021
CA-2016-105291,10/30/2016,11/4/2016,Standard Class,Consumer,United States,San Luis Obispo,California,93405,West,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,3.62,2,0,1.19,Anna Andreadi,No,2.4299998,1.809999943
CA-2014-148950,12/14/2014,12/19/2014,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,2.9,2,0.2,0.47,Kelly Williams,No,2.43,1.812500066
CA-2017-100111,9/20/2017,9/26/2017,Standard Class,Consumer,United States,New York City,New York,10035,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0,1.79,Chuck Magee,No,2.5700002,2.180000067
CA-2016-151372,9/5/2016,9/6/2016,First Class,Consumer,United States,Redondo Beach,California,90278,West,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0,1.79,Anna Andreadi,No,2.5700002,2.180000067
CA-2017-145772,6/3/2017,6/7/2017,Standard Class,Corporate,United States,Los Angeles,California,90036,West,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,3.91,1,0.2,1.27,Anna Andreadi,No,2.64,4.887500125
CA-2016-114307,7/22/2016,7/26/2016,Standard Class,Corporate,United States,Columbia,Maryland,21044,East,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,5.4,3,0,2.59,Chuck Magee,No,2.8100002,1.800000032
CA-2014-123253,8/22/2014,8/25/2014,Second Class,Home Office,United States,Lakewood,Ohio,44107,East,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,3.91,1,0.2,1.03,Chuck Magee,No,2.88,4.887500125
CA-2017-147452,9/30/2017,10/3/2017,First Class,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",3.89,1,0,1.01,Anna Andreadi,No,2.88,3.890000105
CA-2014-142769,9/13/2014,9/13/2014,Same Day,Consumer,United States,Seattle,Washington,98103,West,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,5.7,5,0,2.68,Anna Andreadi,No,3.0199997,1.139999962
CA-2017-107825,11/18/2017,11/18/2017,Same Day,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",5.82,2,0,2.74,Kelly Williams,No,3.0800002,2.910000086
US-2017-118087,9/9/2017,9/13/2017,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",4.67,1,0.2,1.58,Chuck Magee,No,3.0900002,5.837500117
CA-2015-105158,9/5/2015,9/10/2015,Standard Class,Corporate,United States,Rochester,Minnesota,55901,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.96,Kelly Williams,No,3.1999998,3.079999924
US-2015-128090,8/16/2015,8/22/2015,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,5.04,2,0.2,1.76,Anna Andreadi,No,3.28,3.149999988
CA-2015-149636,1/6/2015,1/12/2015,Standard Class,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.94,2,0.7,-1.36,Anna Andreadi,No,3.3000002,3.2333333
CA-2016-114727,7/18/2016,7/24/2016,Standard Class,Corporate,United States,Denver,Colorado,80219,West,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,1.87,3,0.7,-1.44,Anna Andreadi,No,3.31,2.077777701
CA-2015-141593,12/14/2015,12/16/2015,Second Class,Corporate,United States,Los Angeles,California,90045,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,6.48,1,0,3.11,Anna Andreadi,No,3.3700001,6.480000019
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.11,Anna Andreadi,No,3.3700001,6.480000019
CA-2017-123491,10/30/2017,11/5/2017,Standard Class,Consumer,United States,San Francisco,California,94122,West,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",7.42,2,0,3.71,Anna Andreadi,No,3.71,3.710000038
CA-2016-165330,12/11/2016,12/11/2016,Same Day,Consumer,United States,Anaheim,California,92804,West,OFF-BI-10002897,Office Supplies,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",5.87,2,0.2,2.13,Anna Andreadi,No,3.7399998,3.668749942
CA-2015-169397,12/24/2015,12/27/2015,First Class,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.58,2,0.2,1.81,Chuck Magee,No,3.77,3.487499965
CA-2015-164882,10/31/2015,10/31/2015,Same Day,Consumer,United States,Redlands,California,92374,West,OFF-AR-10004272,Office Supplies,Art,Newell 308,5.04,3,0,1.26,Anna Andreadi,No,3.78,1.679999987
CA-2017-141929,9/4/2017,9/8/2017,Standard Class,Consumer,United States,Los Angeles,California,90004,West,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,5.56,1,0.2,1.74,Anna Andreadi,No,3.82,6.949999954
CA-2017-107825,11/18/2017,11/18/2017,Same Day,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-LA-10003720,Office Supplies,Labels,Avery 487,7.38,2,0,3.47,Kelly Williams,No,3.91,3.690000057
CA-2017-128965,4/17/2017,4/22/2017,Standard Class,Consumer,United States,Los Angeles,California,90008,West,OFF-LA-10001404,Office Supplies,Labels,Avery 517,7.38,2,0,3.47,Anna Andreadi,No,3.91,3.690000057
CA-2015-112144,6/28/2015,7/2/2015,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,OFF-LA-10000443,Office Supplies,Labels,Avery 501,5.9,2,0.2,1.99,Anna Andreadi,No,3.91,3.687500073
CA-2017-103380,11/21/2017,11/25/2017,Standard Class,Home Office,United States,Pasadena,California,91104,West,OFF-AR-10003856,Office Supplies,Art,Newell 344,5.56,2,0,1.45,Anna Andreadi,No,4.1099997,2.779999971
CA-2017-167395,12/2/2017,12/4/2017,First Class,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0,0.17,Chuck Magee,No,4.19,2.180000067
US-2016-111528,12/30/2016,12/30/2016,Same Day,Home Office,United States,Los Angeles,California,90032,West,OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,6.38,1,0.2,2.15,Anna Andreadi,No,4.23,7.975000173
US-2016-105578,5/30/2016,6/4/2016,Standard Class,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,2.38,3,0.7,-1.9,Anna Andreadi,No,4.28,2.644444467
CA-2016-136483,12/1/2016,12/6/2016,Standard Class,Consumer,United States,Knoxville,Tennessee,37918,South,OFF-AR-10000940,Office Supplies,Art,Newell 343,4.7,2,0.2,0.41,Cassandra Brandow,No,4.29,2.937499892
CA-2017-127306,1/14/2017,1/18/2017,Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,2.51,2,0.7,-1.84,Cassandra Brandow,No,4.35,4.183333151
CA-2015-168564,8/8/2015,8/8/2015,Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.61,2,0.2,2.23,Anna Andreadi,No,4.38,4.131250099
CA-2015-168564,8/8/2015,8/8/2015,Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,7.28,2,0.2,2.73,Anna Andreadi,No,4.55,4.550000148
CA-2014-103744,2/23/2014,2/27/2014,Standard Class,Home Office,United States,El Paso,Texas,79907,Central,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,6.94,3,0.2,2.34,Kelly Williams,No,4.6000004,2.891666701
CA-2017-131492,10/19/2017,10/24/2017,Second Class,Corporate,United States,San Francisco,California,94110,West,OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,8.96,2,0,4.3,Anna Andreadi,No,4.66,4.480000019
CA-2017-108931,9/14/2017,9/19/2017,Standard Class,Consumer,United States,New York City,New York,10024,East,OFF-PA-10002741,Office Supplies,Paper,Xerox 1980,8.56,2,0,3.85,Chuck Magee,No,4.7100005,4.28000021
CA-2017-166093,8/17/2017,8/24/2017,Standard Class,Corporate,United States,Brentwood,California,94513,West,OFF-PA-10003893,Office Supplies,Paper,Xerox 1962,8.56,2,0,3.85,Anna Andreadi,No,4.7100005,4.28000021
CA-2016-126732,9/2/2016,9/6/2016,Standard Class,Consumer,United States,Los Angeles,California,90036,West,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,7.31,1,0.2,2.56,Anna Andreadi,No,4.75,9.137499963
CA-2017-101574,9/28/2017,10/4/2017,Standard Class,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,9.24,3,0,4.44,Anna Andreadi,No,4.7999997,3.079999924
CA-2015-123568,11/8/2015,11/14/2015,Standard Class,Consumer,United States,West Jordan,Utah,84084,West,OFF-FA-10002701,Office Supplies,Fasteners,Alliance Rubber Bands,5.04,3,0,0.2,Anna Andreadi,No,4.84,1.679999987
US-2014-143287,11/11/2014,11/17/2014,Standard Class,Home Office,United States,New Rochelle,New York,10801,East,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,0,2.19,Chuck Magee,No,5.11,3.650000095
CA-2014-142769,9/13/2014,9/13/2014,Same Day,Consumer,United States,Seattle,Washington,98103,West,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,0,2.19,Anna Andreadi,No,5.11,3.650000095
